Country,Capital,Flag
Afghanistan,Kabul,Afghanistan.jpg
Albania,Tirana,Albania.jpg
Algeria,Algiers,Algeria.jpg
Andorra,Andorra la Vella,Andorra.jpg
Angola,Luanda,Angola.jpg
Antigua and Barbuda,St. John's,Antigua_and_Barbuda.jpg
Argentina,Buenos Aires,Argentina.jpg
Armenia,Yerevan,Armenia.jpg
Australia,Canberra,Australia.jpg
Austria,Vienna,Austria.jpg
Azerbaijan,Baku,Azerbaijan.jpg
Bahamas,Nassau,Bahamas.jpg
Bahrain,Manama,Bahrain.jpg
Bangladesh,Dhaka,Bangladesh.jpg
Barbados,Bridgetown,Barbados.jpg
Belarus,Minsk,Belarus.jpg
Belgium,Brussels,Belgium.jpg
Belize,Belmopan,Belize.jpg
Benin,Porto Novo,Benin.jpg
Bermuda,Hamilton,Bermuda.jpg
Bhutan,Thimphu,Bhutan.jpg
Bolivia,Sucre,Bolivia.jpg
Bosnia and Herzegovina,Sarajevo,Bosnia_and_Herzegovina.jpg
Botswana,Gaborone,Botswana.jpg
Brazil,Brasilia,Brazil.jpg
Brunei,Bandar Seri Begawan,Brunei.jpg
Bulgaria,Sofia,Bulgaria.jpg
Burkina Faso,Ouagadougou,Burkina_Faso.jpg
Burundi,Bujumbura,Burundi.jpg
Cambodia,Phnom Penh,Cambodia.jpg
Cameroon,Yaoundé,Cameroon.jpg
Canada,Ottawa,Canada.jpg
Cape Verde,Praia,Cape_Verde.jpg
Cayman Islands,George Town,Cayman_Islands.jpg
Central African Republic,Bangui,Central_African_Republic.jpg
Chad,N'Djamena,Chad.jpg
Chile,Santiago,Chile.jpg
China,Beijing,China.jpg
Colombia,Bogota,Colombia.jpg
Comoros,Moroni,Comoros.jpg
Cook Islands,Avarua,Cook_Islands.jpg
Costa Rica,San José,Costa_Rica.jpg
Croatia,Zagreb,Croatia.jpg
Cuba,Havana,Cuba.jpg
Cyprus,Nicosia,Cyprus.jpg
Czech Republic,Prague,Czech_Republic.jpg
Democratic Republic of the Congo,Kinshasa,Democratic_Republic_of_the_Congo.jpg
Denmark,Copenagen,Denmark.jpg
Djibouti,Djibouti,Djibouti.jpg
Dominica,Roseau,Dominica.jpg
Dominican Republic,Santo Domingo,Dominican_Republic.jpg
East Timor,Dili,East_Timor.jpg
Ecuador,Quito,Ecuador.jpg
Egypt,Cairo,Egypt.jpg
El Salvador,San Salvador,El_Salvador.jpg
England,London,England.jpg
Equatorial Guinea,Malabo,Equatorial_Guinea.jpg
Eritrea,Asmara,Eritrea.jpg
Estonia,Tallinn,Estonia.jpg
Ethiopia,Addis Ababa,Ethiopia.jpg
Fiji,Suva,Fiji.jpg
Finland,Helsinki,Finland.jpg
France,Paris,France.jpg
Gabon,Libreville,Gabon.jpg
Georgia,Tbilisi,Georgia.jpg
Germany,Berlin,Germany.jpg
Ghana,Accra,Ghana.jpg
Greece,Athens,Greece.jpg
Greenland,Nuuk,Greenland.jpg
Grenada,St. George's,Grenada.jpg
Guam,Hagåtña,Guam.jpg
Guatemala,Guatemala City,Guatemala.jpg
Guinea,Conakry,Guinea-Bissau.jpg
Guinea-Bissau,Bissau,Guinea.jpg
Guyana,Georgetown,Guyana.jpg
Haiti,Port-au-Prince,Haiti.jpg
Honduras,Tegucigalpa,Honduras.jpg
Hong Kong,Hong Kong,Hong_Kong.jpg
Hungary,Budapest,Hungary.jpg
Iceland,Reykjavík,Iceland.jpg
India,New Delhi,India.jpg
Indonesia,Jakarta,Indonesia.jpg
Iran,Tehran,Iran.jpg
Iraq,Baghdad,Iraq.jpg
Ireland,Dublin,Ireland.jpg
Israel,Jerusalem,Israel.jpg
Italy,Rome,Italy.jpg
Ivory Coast,Yamoussoukro,Ivorycoast.jpg
Jamaica,Kingston,Jamaica.jpg
Japan,Tokyo,Japan.jpg
Jordan,Amman,Jordan.jpg
Kazakhstan,Astana,Kazakhstan.jpg
Kenya,Nairobi,Kenya.jpg
Kiribati,Tarawa,Kiribati.jpg
Kuwait,Kuwait City,Kuwait.jpg
Kyrgyzstan,Bishkek,Kyrgyzstan.jpg
Laos,Vientiane,Laos.jpg
Latvia,Riga,Latvia.jpg
Lebanon,Beirut,Lebanon.jpg
Lesotho,Maseru,Lesotho.jpg
Liberia,Monrovia,Liberia.jpg
Libya,Tripoli,Libya.jpg
Liechtenstein,Vaduz,Liechtenstein.jpg
